*******************************************************************************
 Revised: Feb 05, 2023     ARTEMIS-P2 Spacecraft (THEMIS-C) / (Moon)       -193
           http://nssdc.gsfc.nasa.gov/nmc/spacecraftDisplay.do?id=2007-004C

 OVERVIEW:
  "Time History of Events and Macroscale Interactions during Substorms"
  (THEMIS) was launched 2007-Feb-17 23:01 UTC from Cape Canaveral (USA) using 
  a Delta II 7925-10C launch vehicle.

  Originally part of a constellation of five satellites orbiting the Earth to 
  study the evolution of magnetospheric substorms, elements P1 (THEMIS-B) and 
  P2 (THEMIS-C) were repurposed to study the lunar environment in 2009 and 
  renamed ARTEMIS-P1 and ARTEMIS-P2. ("Acceleration, Reconnection, Turbulence 
  and Electrodynamics of the Moon's Interaction with the Sun")

  ARTEMIS-P2 reached the Earth-Moon L1 Lagrange point on 22 October 2010, and 
  on July 2 of 2011 was moved into an equatorial lunar orbit (achieved 
  2011-July-17) with a periapsis altitude of approximately 100 km, apoapsis 
  of 19000 km, and period of 26 hours. 

 OBJECTIVES:
  The objectives of the repurposed ARTEMIS mission are to study how particles 
  are accelerated at reconnection sites and shocks, how turbulence develops 
  and evolves in Earth's magnetotail and in the solar wind, and the structure, 
  formation, refilling, and downstream evolution of the lunar wake and particle
  acceleration processes within it.

 SPACECRAFT:
  Launch mass  : 630 kg
  Dry mass     : 77 kg
  Nominal power: 37 W
  Telemetry    : 4.63 kbps

 INSTRUMENTS:
  Fluxgate Magnetometer (FGM)
  Electrostatic Analyzer (ESA)
  Solid-State Telescope (SST)
  Search Coil Magnetometer (SCM)
  Electric Field Instrument (EFI)

 TRAJECTORY:
  The ARTEMIS-P2 spacecraft was the first to orbit the Earth-Moon L1 Lagrange
  point. 

  Trajectory after 2022-Feb-04 is a concatenated set of periodically updated 
  (tag-up) solutions. Tracking data involved through February 3, prediction 
  thereafter.

 Trajectory name                                      Start         Stop
 -----------------------------------------------    -----------  -----------
 THEMIS_C_definitive_trajectory_20[07-21]           2007-Feb-18  2022-Feb-04 
 193.THEMIS_C.SHORT_TERM.*.oem.V0.1                 2022-Feb-04  2023-Mar-05
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Mar  3 20:21:22 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: THEMIS-C (spacecraft) (-193)    {source: THEMIS-C_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2007-Feb-19 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Dec-12 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 286.0058, 40.7517, -2.02709E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 286.0058, 4838.6361, 4141.57364 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
EOP file        : eop.230303.p230526
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAR-03. PREDICTS-> 2023-MAY-25
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2454150.500000000, A.D. 2007-Feb-19 00:00:00.0000, -4.460049800791666E+04,  5.245398807802527E+04, -1.811362370439295E+04,
2454151.500000000, A.D. 2007-Feb-20 00:00:00.0000, -3.569834523571759E+04,  7.827609930003542E+04, -2.129798885292701E+04,
2454152.500000000, A.D. 2007-Feb-21 00:00:00.0000, -1.510505816789890E+04,  7.611761002190931E+04, -1.798359379081983E+04,
2454153.500000000, A.D. 2007-Feb-22 00:00:00.0000,  1.031046589834194E+04,  3.518581837649208E+04, -7.283582389497004E+03,
2454154.500000000, A.D. 2007-Feb-23 00:00:00.0000, -4.149250398609855E+04,  3.179539414960882E+04, -1.433514320676647E+04,
2454155.500000000, A.D. 2007-Feb-24 00:00:00.0000, -4.134660839325401E+04,  7.085863425213948E+04, -2.104971670905453E+04,
2454156.500000000, A.D. 2007-Feb-25 00:00:00.0000, -2.466094376676126E+04,  8.019894630838928E+04, -2.024711418686543E+04,
2454157.500000000, A.D. 2007-Feb-26 00:00:00.0000,  5.484246068588811E+01,  5.876085606902416E+04, -1.295313065228662E+04,
2454158.500000000, A.D. 2007-Feb-27 00:00:00.0000, -2.708751719107094E+04,  2.440329204073091E+03, -7.259180360887527E+03,
2454159.500000000, A.D. 2007-Feb-28 00:00:00.0000, -4.459184435576174E+04,  5.886294207492425E+04, -1.954639400891108E+04,
2454160.500000000, A.D. 2007-Mar-01 00:00:00.0000, -3.312985356621535E+04,  7.934688576099544E+04, -2.137611832826550E+04,
2454161.500000000, A.D. 2007-Mar-02 00:00:00.0000, -1.081542889116043E+04,  7.176791970758369E+04, -1.698892756091156E+04,
2454162.500000000, A.D. 2007-Mar-03 00:00:00.0000,  1.363314859259261E+04,  1.691420044822110E+04, -3.860528826721682E+03,
2454163.500000000, A.D. 2007-Mar-04 00:00:00.0000, -4.392149885542267E+04,  4.145353504643830E+04, -1.658937070410280E+04,
2454164.500000000, A.D. 2007-Mar-05 00:00:00.0000, -3.962930294469100E+04,  7.393244724459147E+04, -2.171886078733198E+04,
2454165.500000000, A.D. 2007-Mar-06 00:00:00.0000, -2.100240675795444E+04,  7.821700012944157E+04, -1.986835749601831E+04,
2454166.500000000, A.D. 2007-Mar-07 00:00:00.0000,  5.051194278180786E+03,  4.919206878692017E+04, -1.095024234711733E+04,
2454167.500000000, A.D. 2007-Mar-08 00:00:00.0000, -3.583437360943596E+04,  1.661936639728436E+04, -1.117246539909639E+04,
2454168.500000000, A.D. 2007-Mar-09 00:00:00.0000, -4.396948202508971E+04,  6.385307169200347E+04, -2.080635243082764E+04,
2454169.500000000, A.D. 2007-Mar-10 00:00:00.0000, -3.011382888586317E+04,  7.948941168782400E+04, -2.161018638825401E+04,
2454170.500000000, A.D. 2007-Mar-11 00:00:00.0000, -6.333858641427807E+03,  6.655929010583863E+04, -1.584374899802956E+04,
2454171.500000000, A.D. 2007-Mar-12 00:00:00.0000,  6.445134118720570E+03, -1.013081413855284E+04, -2.610428537931139E+02,
2454172.500000000, A.D. 2007-Mar-13 00:00:00.0000, -4.494606033229105E+04,  4.881844430697910E+04, -1.846152086693137E+04,
2454173.500000000, A.D. 2007-Mar-14 00:00:00.0000, -3.761856504712329E+04,  7.597584140068610E+04, -2.231434867492671E+04,
