*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Mar  3 12:26:41 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 1920-Nov-01 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Dec-12 00:00:00.0000 TDB
Step-size       : 1 calendar months
*******************************************************************************
Center geodetic : 286.0058, 40.7517, -2.02709E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 286.0058, 4838.6361, 4141.57364 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
EOP file        : eop.230301.p230525
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAR-01. PREDICTS-> 2023-MAY-24
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2422629.500000000, A.D. 1920-Nov-01 00:00:00.0000, -4.021595726361676E+03,  7.649659650658923E+02, -4.879203456296672E+03,
2422659.500000000, A.D. 1920-Dec-01 00:00:00.0000, -4.797556537607085E+03, -1.388361310455442E+03, -3.952332934107531E+03,
2422690.500000000, A.D. 1921-Jan-01 00:00:00.0000, -4.278494145559737E+03, -3.677268364685129E+03, -2.955878330113421E+03,
2422721.500000000, A.D. 1921-Feb-01 00:00:00.0000, -2.562503665855356E+03, -5.402386392671735E+03, -2.193815787319030E+03,
2422749.500000000, A.D. 1921-Mar-01 00:00:00.0000, -3.753507962392682E+02, -6.072042080351451E+03, -1.885324437899444E+03,
2422780.500000000, A.D. 1921-Apr-01 00:00:00.0000,  2.132054059950520E+03, -5.640027086195782E+03, -2.051699645260845E+03,
2422810.500000000, A.D. 1921-May-01 00:00:00.0000,  4.009383804813140E+03, -4.162462178893299E+03, -2.676524163336106E+03,
2422841.500000000, A.D. 1921-Jun-01 00:00:00.0000,  4.857381412258384E+03, -1.953573660895158E+03, -3.626903258875337E+03,
2422871.500000000, A.D. 1921-Jul-01 00:00:00.0000,  4.401638163477686E+03,  2.718728523640987E+02, -4.595290862600678E+03,
2422902.500000000, A.D. 1921-Aug-01 00:00:00.0000,  2.739071716027633E+03,  2.040603874264714E+03, -5.375728178091816E+03,
2422933.500000000, A.D. 1921-Sep-01 00:00:00.0000,  3.246331780771289E+02,  2.785318283952882E+03, -5.718535375313018E+03,
2422963.500000000, A.D. 1921-Oct-01 00:00:00.0000, -2.096775451715248E+03,  2.333631943131170E+03, -5.542808506616411E+03,
2422994.500000000, A.D. 1921-Nov-01 00:00:00.0000, -4.010220778149958E+03,  7.816060804756398E+02, -4.885923937946121E+03,
2423024.500000000, A.D. 1921-Dec-01 00:00:00.0000, -4.796552049210300E+03, -1.368558272932595E+03, -3.960450501488604E+03,
2423055.500000000, A.D. 1922-Jan-01 00:00:00.0000, -4.288546473675388E+03, -3.659609725773182E+03, -2.963217386573219E+03,
2423086.500000000, A.D. 1922-Feb-01 00:00:00.0000, -2.580915810176949E+03, -5.391772693209613E+03, -2.198338528861036E+03,
2423114.500000000, A.D. 1922-Mar-01 00:00:00.0000, -3.970421934362225E+02, -6.070391210249858E+03, -1.886197108758707E+03,
2423145.500000000, A.D. 1922-Apr-01 00:00:00.0000,  2.112392042961279E+03, -5.648640072819701E+03, -2.048339978252241E+03,
2423175.500000000, A.D. 1922-May-01 00:00:00.0000,  3.996803355935684E+03, -4.178750711078909E+03, -2.669950731863012E+03,
2423206.500000000, A.D. 1922-Jun-01 00:00:00.0000,  4.855429062969039E+03, -1.973322269438312E+03, -3.618817392098076E+03,
2423236.500000000, A.D. 1922-Jul-01 00:00:00.0000,  4.410426582353858E+03,  2.539997738903699E+02, -4.587881096810072E+03,
2423267.500000000, A.D. 1922-Aug-01 00:00:00.0000,  2.756429116509467E+03,  2.029545656091227E+03, -5.371040349637784E+03,
