*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Mar  5 08:50:59 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Nov-17 09:15:00.0000 TDB
Stop  time      : A.D. 2022-Dec-11 17:15:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
EOP file        : eop.230303.p230526
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAR-03. PREDICTS-> 2023-MAY-25
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2459900.885416667, A.D. 2022-Nov-17 09:15:00.0000, -3.566278476627612E+05,  1.753075890183260E+05,  3.428524537201888E+04,
2459900.927083333, A.D. 2022-Nov-17 10:15:00.0000, -3.580331836585092E+05,  1.720721241528748E+05,  3.415546707314421E+04,
2459900.968750000, A.D. 2022-Nov-17 11:15:00.0000, -3.594088485308969E+05,  1.688222844669859E+05,  3.402285244327792E+04,
2459901.010416667, A.D. 2022-Nov-17 12:15:00.0000, -3.607546944825797E+05,  1.655583185573766E+05,  3.388740904839144E+04,
2459901.052083333, A.D. 2022-Nov-17 13:15:00.0000, -3.620705754284870E+05,  1.622804766353660E+05,  3.374914467158672E+04,
2459901.093750000, A.D. 2022-Nov-17 14:15:00.0000, -3.633563470128412E+05,  1.589890105243046E+05,  3.360806731397733E+04,
2459901.135416667, A.D. 2022-Nov-17 15:15:00.0000, -3.646118666264166E+05,  1.556841736568605E+05,  3.346418519557445E+04,
2459901.177083333, A.D. 2022-Nov-17 16:15:00.0000, -3.658369934240383E+05,  1.523662210721577E+05,  3.331750675617807E+04,
2459901.218750000, A.D. 2022-Nov-17 17:15:00.0000, -3.670315883423226E+05,  1.490354094127566E+05,  3.316804065627237E+04,
2459901.260416667, A.D. 2022-Nov-17 18:15:00.0000, -3.681955141176576E+05,  1.456919969214721E+05,  3.301579577792518E+04,
2459901.302083333, A.D. 2022-Nov-17 19:15:00.0000, -3.693286353044270E+05,  1.423362434380199E+05,  3.286078122569104E+04,
2459901.343750000, A.D. 2022-Nov-17 20:15:00.0000, -3.704308182934741E+05,  1.389684103954855E+05,  3.270300632751696E+04,
2459901.385416667, A.D. 2022-Nov-17 21:15:00.0000, -3.715019313308085E+05,  1.355887608166074E+05,  3.254248063565101E+04,
2459901.427083333, A.D. 2022-Nov-17 22:15:00.0000, -3.725418445365539E+05,  1.321975593098671E+05,  3.237921392755261E+04,
2459901.468750000, A.D. 2022-Nov-17 23:15:00.0000, -3.735504299241378E+05,  1.287950720653785E+05,  3.221321620680468E+04,
2459901.510416667, A.D. 2022-Nov-18 00:15:00.0000, -3.745275614197218E+05,  1.253815668505696E+05,  3.204449770402625E+04,
2459901.552083333, A.D. 2022-Nov-18 01:15:00.0000, -3.754731148818722E+05,  1.219573130056472E+05,  3.187306887778576E+04,
2459901.593750000, A.D. 2022-Nov-18 02:15:00.0000, -3.763869681214701E+05,  1.185225814388391E+05,  3.169894041551409E+04,
